Year,Week,Region,Fregion,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2006,1,NE,1,6760,3740,2270,2090,,,,
2006,2,NE,1,6280,3810,2360,2320,,,,
2006,3,NE,1,11190,6320,3680,3690,,,,
2006,4,NE,1,8820,4960,2870,2880,,,,
2006,5,NE,1,10710,5980,3470,3400,,,,
2006,6,NE,1,11000,5950,3350,3360,,,,
2006,7,NE,1,10700,5810,3230,3320,,,,
2006,8,NE,1,10140,5560,3050,3240,,,,
2006,9,NE,1,8800,4870,2700,2770,,,,
2006,10,NE,1,11280,6170,3410,3560,,,,
2006,11,NE,1,10500,5840,3230,3420,,,,
2006,12,NE,1,10750,5950,3170,3590,,,,
2006,13,NE,1,11180,6100,3350,3500,,,,
2006,14,NE,1,10880,5880,3150,3400,,,,
2006,15,NE,1,10020,5460,2920,3070,,,,
2006,16,NE,1,9630,5110,2740,2860,,,,
2006,17,NE,1,9270,5000,2710,2780,,,,
2006,18,NE,1,10030,5530,3040,3130,,,,
2006,19,NE,1,10120,5730,3010,3340,,,,
2006,20,NE,1,9790,5480,2920,3260,,,,
2006,21,NE,1,9780,5460,2880,3270,,,,
2006,22,NE,1,9230,5110,2720,2970,,,,
2006,23,NE,1,6870,3790,2090,2220,,,,
2006,24,NE,1,8960,4970,2660,2910,,,,
2006,25,NE,1,9910,5550,2960,3180,,,,
2006,26,NE,1,9070,5090,2740,3090,,,,
2006,27,NE,1,8640,4830,2660,2860,,,,
2006,28,NE,1,5900,3310,1820,1960,,,,
2006,29,NE,1,8650,4820,2580,2810,,,,
2006,30,NE,1,8300,4640,2480,2740,,,,
2006,31,NE,1,8430,4670,2520,2670,,,,
2006,32,NE,1,8190,4510,2480,2640,,,,
2006,33,NE,1,8480,4730,2560,2800,,,,
2006,34,NE,1,8360,4560,2400,2540,,,,
2006,35,NE,1,8440,4660,2520,2690,,,,
2006,36,NE,1,8350,4480,2350,2590,,,,
